"Name","Date","Open","High","Low","Close","Volume"
"BVMF:BBDC4","16/04/2026 16:56:00",20.98,21.19,20.83,20.85,35466500
"BVMF:BBDC4","17/04/2026 16:56:00",21.3,21.59,21.13,21.26,49218700
"BVMF:BBDC4","20/04/2026 16:56:00",21.19,21.27,20.96,21.03,20455500
"BVMF:BBDC4","22/04/2026 16:56:00",20.79,20.89,20.35,20.41,35201800
"BVMF:BBDC4","23/04/2026 16:56:00",20.4,20.55,19.93,19.97,19189100
"BVMF:BBDC4","24/04/2026 16:56:00",20.04,20.14,19.83,19.92,21380800
"BVMF:BBDC4","27/04/2026 16:56:00",19.93,20.04,19.71,19.73,17874000
"BVMF:BBDC4","28/04/2026 16:56:00",19.43,19.65,19.35,19.57,26064600
"BVMF:BBDC4","29/04/2026 16:56:00",19.5,19.51,19.01,19.11,33825900
"BVMF:BBDC4","30/04/2026 16:56:00",19.24,19.48,19.21,19.32,24009300
"BVMF:BBDC4","04/05/2026 16:56:00",19.31,19.38,18.8,18.91,27527900
"BVMF:BBAS3","06/04/2026 16:56:00",23.4,23.68,23.28,23.43,11198800
"BVMF:BBAS3","07/04/2026 16:56:00",23.28,23.49,23.03,23.44,13760900
"BVMF:BBAS3","08/04/2026 16:56:00",24.43,24.8,24.15,24.49,40278600
"BVMF:BBAS3","09/04/2026 16:56:00",24.57,24.89,24.37,24.72,16299100
"BVMF:BBAS3","10/04/2026 16:56:00",24.85,25.05,24.71,24.73,22773400
"BVMF:BBAS3","13/04/2026 16:56:00",24.57,24.83,24.43,24.75,29435700
"BVMF:BBAS3","14/04/2026 16:56:00",24.8,25.49,24.75,25.38,28487700
"BVMF:BBAS3","15/04/2026 16:56:00",25.04,25.29,24.3,24.4,36240900
"BVMF:BBAS3","16/04/2026 16:56:00",24.48,24.66,23.93,24.28,20801800
"BVMF:BBAS3","17/04/2026 16:56:00",24.58,24.9,24.3,24.4,22413600
"BVMF:BBAS3","20/04/2026 16:56:00",24.4,24.53,24.18,24.28,13669600
"BVMF:BBAS3","22/04/2026 16:56:00",24.14,24.14,23.36,23.4,25207400
"BVMF:BBAS3","23/04/2026 16:56:00",23.36,23.45,22.87,23,24573300
"BVMF:BBAS3","24/04/2026 16:56:00",23.06,23.09,22.6,22.7,20235200
"BVMF:BBAS3","27/04/2026 16:56:00",22.72,22.92,22.51,22.51,15576900
"BVMF:BBAS3","28/04/2026 16:56:00",22.43,22.66,22.25,22.54,11919500
"BVMF:BBAS3","29/04/2026 16:56:00",22.09,22.12,21.66,21.71,33020900
"BVMF:BBAS3","30/04/2026 16:56:00",21.9,22.32,21.9,22.21,16978900
"BVMF:BBAS3","04/05/2026 16:56:00",22.21,22.36,21.84,21.91,12949300
"BVMF:ABEV3","06/04/2026 16:56:00",15.3,15.56,15.3,15.45,14919000
"BVMF:ABEV3","07/04/2026 16:56:00",15.37,15.48,15.22,15.48,18339600
"BVMF:ABEV3","08/04/2026 16:56:00",15.96,16.03,15.65,15.86,34907800
"BVMF:ABEV3","09/04/2026 16:56:00",15.99,16.25,15.85,16.06,33451600
"BVMF:ABEV3","10/04/2026 16:56:00",16.3,16.34,16.04,16.12,23124300
"BVMF:ABEV3","13/04/2026 16:56:00",16.12,16.19,15.85,15.93,23073100
"BVMF:ABEV3","14/04/2026 16:56:00",15.97,16.02,15.83,15.89,22292800
"BVMF:ABEV3","15/04/2026 16:56:00",15.84,15.94,15.74,15.83,24739300
